Date,Time,CO2_Level,Indoor_Temperature,Indoor_Humidity,Satisfaction
12/04/2012,19:15,192.7953927,22.06301357,29.88096729,92.04572
12/04/2012,19:30,192.513621,21.02657078,27.33242685,92.94145
12/04/2012,19:45,193.2527107,21.07287927,28.03150121,92.5097
12/04/2012,20:00,194.0265509,21.38129679,31.8738461,90.70675
12/04/2012,20:15,193.3948014,20.96122448,32.16983391,91.516846
12/04/2012,20:30,192.3721193,21.4285799,32.90206752,93.36495
12/04/2012,20:45,191.97262,21.07793948,33.08927375,91.448044
12/04/2012,21:00,192.776747,21.49427107,35.21450799,92.87972
12/04/2012,21:15,192.6897572,20.9125653,32.38840702,93.27816
12/04/2012,21:30,192.5771735,21.52736641,35.9430872,92.11527
12/04/2012,21:45,192.0600934,21.8249513,34.63621756,91.761665
12/04/2012,22:00,192.7837068,20.04336341,38.29835059,91.99463
12/04/2012,22:15,193.2344294,21.44371422,36.6925365,93.59026
12/04/2012,22:30,192.6919771,20.57029603,38.68736731,92.05291
12/04/2012,22:45,193.0838667,20.42644229,40.73569445,91.80528
12/04/2012,23:15,192.5721699,20.39802418,40.86740082,92.48385
12/04/2012,23:30,192.0370881,19.78052708,37.91131624,93.35114
12/04/2012,23:45,192.0624457,19.67620109,43.36687736,92.80554
